EXAMPLE@1	1	100	0.01	b_1	template.cfg
EXAMPLE@2	1	100	0.01	b_1	template.cfg
EXAMPLE@3	1	100	0.01	b_1	template.cfg
EXAMPLE@4	1	100	0.01	b_1	template.cfg
EXAMPLE@5	1	100	0.01	b_1	template.cfg
EXAMPLE@6	1	100	0.01	b_1	template.cfg
EXAMPLE@7	1	100	0.01	b_1	template.cfg
EXAMPLE@8	1	100	0.01	b_1	template.cfg
EXAMPLE@9	1	100	0.01	b_9	template.cfg
EXAMPLE@10	1	100	0.01	b_10	template.cfg
EXAMPLE@11	0	100	0.0		template.cfg
EXAMPLE@12	0	100	0.0		template.cfg
EXAMPLE@13	0	100	0.0		template.cfg
EXAMPLE@14	0	100	0.0		template.cfg
EXAMPLE@15	0	100	0.0		template.cfg
EXAMPLE@20	1	100	0.01	b_20	template.cfg
EXAMPLE@21	1	100	0.01	b_21	template.cfg
EXAMPLE@22	1	100	0.01	b_22	template.cfg
EXAMPLE@23	1	100	0.01	b_23	template.cfg
EXAMPLE@24	1	100	0.01	b_24	template.cfg
EXAMPLE@25	1	100	0.01	b_25	template.cfg
EXAMPLE@26	1	100	0.01	b_26	template.cfg
EXAMPLE@27	1	100	0.01	b_27	template.cfg
EXAMPLE@28	1	100	0.01	b_28	template.cfg
EXAMPLE@29	1	100	0.01	b_29	template.cfg
EXAMPLE@40	1	100	0.01	b_3	template.cfg
EXAMPLE@41	1	100	0.01	b_3	template.cfg
EXAMPLE@42	1	100	0.01	b_3	template.cfg
EXAMPLE@43	1	100	0.01	b_3	template.cfg
EXAMPLE@44	1	100	0.01	b_3	template.cfg
EXAMPLE@45	1	100	0.01	b_3	template.cfg
EXAMPLE@46	1	100	0.01	b_3	template.cfg
EXAMPLE@47	1	100	0.01	b_3	template.cfg
EXAMPLE@48	1	100	0.01	b_3	template.cfg
