b_1	Aotus_trivirgatus,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
b_2	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
b_3	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
b_4	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
b_5	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
b_6	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Trachypithecus_pileatus
b_7	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
b_8	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
b_9	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
b_10	Cercocebus_torquatus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
b_11	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
b_12	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
b_13	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
b_14	Aotus_trivirgatus,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
b_15	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
b_16	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
b_17	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
b_18	Ateles_geoffroyi,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
b_19	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
b_20	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
b_21	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
b_22	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
b_23	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
b_24	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
b_25	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
